query_id,question,expected_answer,question_type,difficulty,retrieval_method,rank,document_id,chunk_id,title,text,retrieval_score,is_supporting
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Dense,1,D006,D006_C001,Arthur's Magazine,Arthur's Magazine (1844–1846) was an American literary periodical published in Philadelphia in the 19th century.,0.7347249388694763,True
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Dense,2,D008,D008_C002,First for Women,The magazine was started in 1989.,0.7120329141616821,False
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Dense,3,D006,D006_C002,Arthur's Magazine,"Edited by T.S. Arthur, it featured work by Edgar A. Poe, J.H. Ingraham, Sarah Josepha Hale, Thomas G. Spear, and others.",0.6726688146591187,False
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Dense,4,D008,D008_C001,First for Women,First for Women is a woman's magazine published by Bauer Media Group in the USA.,0.6579461097717285,True
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Dense,5,D006,D006_C003,Arthur's Magazine,"In May 1846 it was merged into ""Godey's Lady's Book"".",0.6112534403800964,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Dense,1,D007,D007_C001,The Oberoi Group,The Oberoi Group is a hotel company with its head office in Delhi.,0.7859134674072266,True
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Dense,2,D002,D002_C001,Oberoi family,"The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.",0.7692292928695679,True
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Dense,3,D007,D007_C002,The Oberoi Group,"Founded in 1934, the company owns and/or operates 30+ luxury hotels and two river cruise ships in six countries, primarily under its Oberoi Hotels & Resorts and Trident Hotels brands.",0.6610299348831177,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Dense,4,D005,D005_C001,Mohan Singh Oberoi,"Rai Bahadur Mohan Singh Oberoi (15 August 1898 – 3 May 2002) was an Indian hotelier, the founder and chairman of Oberoi Hotels & Resorts, India's second-largest hotel company, with 35 hotels in India, Sri Lanka, Nepal, Egypt, Australia and Hungary.",0.6481770277023315,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Dense,5,D003,D003_C003,Ishqbaaaz,"Nakuul Mehta, Kunal Jaisingh and Leenesh Mattoo respectively portray Shivaay, Omkara and Rudra, the three heirs of the Oberoi family.",0.4272805452346802,False
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,Dense,1,D004,D004_C004,Allie Goertz,"Subjects of her songs have included the film ""The Room"", the character Milhouse from the television show ""The Simpsons"", and the game Dungeons & Dragons.",0.6921252608299255,False
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,Dense,2,D005,D005_C001,Milhouse Van Houten,"Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon's middle name.",0.612425684928894,True
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,Dense,3,D008,D008_C001,List of The Simpsons video games,"""The Simpsons"" is an American animated television sitcom created by Matt Groening for the Fox Broadcasting Company.",0.585526168346405,False
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,Dense,4,D008,D008_C005,List of The Simpsons video games,"Groening created a dysfunctional family and named the characters after members of his own family, substituting Bart for his own name.",0.572105884552002,False
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,Dense,5,D007,D007_C005,Homer Simpson,"He named the character after his father, Homer Groening.",0.5627959966659546,False
