query_id,question,retrieved_context,generated_answer,context_support,hallucination_label,annotation_reason,v2_hypothesis,v2_nli_contradiction,v2_nli_entailment,v2_nli_neutral,v2_nli_label,v2_hallucination_label
5ade025e5542997dc790711e,In which American football game was Malcolm Smith named Most Valuable   player?,"[Context 1]
Title: Malcolm Smith (American football)
Text: Smith was named the Most Valuable Player of Super Bowl XLVIII after   they defeated the Denver Broncos.

[Context 2]
Title: Malcolm Smith (American football)
Text: Smith played college football at USC.

[Context 3]
Title: Steve Clark (American football)
Text: He also played on two state championship teams in high school which   were a combined (25-1) over two years and was a five team all-American   including ""Parade Magazine"", he was also named Most Valuable Player   of the state of Utah.

[Context 4]
Title: Malcolm Smith (American football)
Text: Malcolm Xavier Smith (born July 5, 1989) is an American football   linebacker for the San Francisco 49ers of the National Football League   (NFL).

[Context 5]
Title: Malcolm Smith (American football)
Text: He was drafted by the Seattle Seahawks in the seventh round of the   2011 NFL Draft.",Super Bowl XLVIII,supported,0,Retrieved context directly states that Malcolm Smith was named Most Valuable Player of Super Bowl XLVIII.,"For the question 'In which American football game was Malcolm Smith named Most Valuable   player?', the answer is 'Super Bowl XLVIII'.",0.0039950612544738,0.004011937897459,0.9919930008480672,neutral,1
5ae0d91e55429924de1b7198,"The 1988 American comedy film, The Great Outdoors, starred a four-time   Academy Award nominee, who received a star on the Hollywood Walk of Fame in   what year?","[Context 1]
Title: The Great Outdoors (film)
Text: The Great Outdoors is a 1988 American comedy film directed by Howard   Deutch, and written and produced by John Hughes.

[Context 2]
Title: The Great Outdoors (film)
Text: It stars Dan Aykroyd, John Candy, Stephanie Faracy and Annette Bening   in her film debut.

[Context 3]
Title: Annette Bening
Text: In 2006, she received a star on the Hollywood Walk of Fame.

[Context 4]
Title: Kevin Bacon
Text: In 2003, Bacon received a star on the Hollywood Walk of Fame for his   contributions to the motion pictures industry.

[Context 5]
Title: John Lithgow
Text: Lithgow has received a star on the Hollywood Walk of Fame and has   been inducted into the American Theater Hall of Fame.",2006,supported,0,Retrieved context lists Annette Bening among the stars of The Great Outdoors and states that she received a Hollywood Walk of Fame star in 2006.,"For the question 'The 1988 American comedy film, The Great Outdoors, starred a four-time   Academy Award nominee, who received a star on the Hollywood Walk of Fame in   what year?', the answer is '2006'.",0.0043381243341251,0.0044254109225208,0.991236464743354,neutral,1
5a83168855429966c78a6b2e,"Dua Lipa, an English singer, songwriter and model, the album spawned the   number-one single ""New Rules"" is a song by English singer Dua Lipa   from her eponymous debut studio album, released in what year?","[Context 1]
Title: New Rules (song)
Text: ""New Rules"" is a song by English singer Dua Lipa from her   eponymous debut studio album (2017).

[Context 2]
Title: Dua Lipa
Text: Dua Lipa ( ; ] ; born 22 August 1995) is an English singer,   songwriter and model.

[Context 3]
Title: Dua Lipa
Text: The album spawned seven singles, including the top-10 single ""Be   the One"" and the number-one single ""New Rules"".

[Context 4]
Title: Be the One (Dua Lipa song)
Text: ""Be the One"" is a song by English singer Dua Lipa from her   eponymous debut studio album (2017).

[Context 5]
Title: Dua Lipa (album)
Text: Dua Lipa is the debut studio album by English singer Dua Lipa.",2017,supported,0,Retrieved context directly states that New Rules is from Dua Lipa's eponymous debut studio album (2017).,"For the question 'Dua Lipa, an English singer, songwriter and model, the album spawned the   number-one single ""New Rules"" is a song by English singer Dua Lipa   from her eponymous debut studio album, released in what year?', the answer is '2017'.",0.0026262114770099,0.3961673269417031,0.6012064615812871,neutral,1
5adf732a5542993a75d264e9,Which  American politician did   Donahue replaced,"[Context 1]
Title: Sue Donahue
Text: Donahue did not run for re-election in 2016 and was replaced by Sonny   Borrelli.

[Context 2]
Title: Sue Donahue
Text: Sue Donahue is an American politician.

[Context 3]
Title: Dan Donahue
Text: Daniel M. Donahue is an American politician serving in the   Massachusetts House of Representatives since September 2013.

[Context 4]
Title: Anne Donahue
Text: Anne de la Blanchetai Donahue is an American politician from the   state of Vermont.

[Context 5]
Title: Sue Donahue
Text: Donahue replaced Kelli Ward who resigned to run for the United States   Senate.",Kelli Ward,supported,0,Retrieved context directly states that Donahue replaced Kelli Ward after Ward resigned.,"For the question 'Which  American politician did   Donahue replaced', the answer is 'Kelli Ward'.",0.7405619902434013,0.2056339499122926,0.0538040598443059,contradiction,1
5ac2a912554299218029dae8,"Which band was founded first, Hole, the rock band that Courtney Love was   a frontwoman of, or The Wolfhounds?","[Context 1]
Title: Courtney Love
Text: She rose to prominence as the frontwoman of the alternative rock band   Hole, which she formed in 1989.

[Context 2]
Title: Courtney Love
Text: Prolific in the punk and grunge scenes of the 1990s, Love has enjoyed   a career that spans four decades.

[Context 3]
Title: The Wolfhounds
Text: The Wolfhounds are an indie pop/noise pop band formed in Romford, UK   in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank   Stebbing, and originally active until 1990.

[Context 4]
Title: The Wolfhounds
Text: The band reformed in 2005 and continues to write, record and play   live, releasing new albums in 2014 and 2016.

[Context 5]
Title: Turpentine (song)
Text: The song was one of the band's first compositions and remained   unreleased for seven years before being released on the band's second EP,   ""The First Session"" on August 26, 1997.",Hole,unsupported,1,"Retrieved context states that Hole was formed in 1989 and The Wolfhounds in 1985, so the generated answer Hole is contradicted by the retrieved evidence.","For the question 'Which band was founded first, Hole, the rock band that Courtney Love was   a frontwoman of, or The Wolfhounds?', the answer is 'Hole'.",0.0070732086683808,0.9487769371953754,0.0441498541362436,entailment,0
5a8b63755542997f31a41cfe,"750 7th Avenue and 101 Park Avenue, are located in which city?","[Context 1]
Title: 750 7th Avenue
Text: 750 Seventh Avenue is a 615 ft (187m) tall Class-A office skyscraper   in New York City.

[Context 2]
Title: 101 Park Avenue
Text: 101 Park Avenue is a 629 ft tall skyscraper in New York City, New   York.

[Context 3]
Title: 750 7th Avenue
Text: It is tied with the New York Life Building for the 74th tallest   building in New York City.

[Context 4]
Title: 750 7th Avenue
Text: It was completed in 1989 in the postmodern style and has 36   floors.

[Context 5]
Title: 101 Park Avenue
Text: Eli Attia Architects designed the building, which is the 64th tallest   in New York.",New York City,supported,0,Retrieved context directly states that both 750 Seventh Avenue and 101 Park Avenue are in New York City.,"For the question '750 7th Avenue and 101 Park Avenue, are located in which city?', the answer is 'New York City'.",0.001595497469079,0.0012474692067845,0.9971570333241364,neutral,1
5ac15df95542994d76dccded,"Which actress played the part of fictitious character Kimberly Ann Hart,   in the franchise built around a live action superhero television series   taking much of its footage from the Japanese tokusatsu 'Super Sentai'?","[Context 1]
Title: Kimberly Hart
Text: Kimberly Ann Hart is a fictitious character in the ""Power   Rangers"" universe.

[Context 2]
Title: Kimberly Hart
Text: Played by actress Amy Jo Johnson during the first three seasons of   the show, plus on the two feature films of the franchise, Kimberly has the   longest tenure of any female ranger in the series' history, and fourth   overall.

[Context 3]
Title: Kimberly Hart
Text: She is possibly the best remembered as the first Pink Ranger and   first Pink Ninja Ranger from the first entry of the franchise ""Mighty   Morphin Power Rangers"".

[Context 4]
Title: Power Rangers
Text: Power Rangers is an American entertainment and merchandising   franchise built around a live action superhero television series.

[Context 5]
Title: Power Rangers
Text: Produced first by Saban Entertainment, later by BVS Entertainment,   and today by SCG Power Rangers, the television series takes much of its   footage from the Japanese tokusatsu ""Super Sentai"", produced by   Toei Company.",Amy Jo Johnson,supported,0,Retrieved context directly states that Kimberly Ann Hart was played by actress Amy Jo Johnson.,"For the question 'Which actress played the part of fictitious character Kimberly Ann Hart,   in the franchise built around a live action superhero television series   taking much of its footage from the Japanese tokusatsu 'Super Sentai'?', the answer is 'Amy Jo Johnson'.",0.0003438737848037,0.0419775792796526,0.9576785469355436,neutral,1
5add28c85542992ae4cec4be,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the   46th Test Wing and based at McClellan Air Force Base, a former United States   Air Force base located in the North Highlands area of Sacramento County, in   which US state?","[Context 1]
Title: 337th Flight Test Squadron
Text: The 337th Flight Test Squadron (337 FLTS) was most recently part of   the 46th Test Wing and based at McClellan Air Force Base, California.

[Context 2]
Title: McClellan Air Force Base
Text: McClellan Air Force Base (1935–2001) is a former United States Air   Force base located in the North Highlands area of Sacramento County, 7 mi   northeast of Sacramento, California.

[Context 3]
Title: 586th Flight Test Squadron
Text: The 586th Flight Test Squadron (586 FLTS) is part of the 96th Test   Wing based at Holloman Air Force Base, New Mexico.

[Context 4]
Title: 46th Test Wing
Text: The 46th Test Wing is an inactive wing of the United States Air Force   last based at Eglin Air Force Base, Florida.

[Context 5]
Title: 486th Flight Test Squadron
Text: The 486th Flight Test Squadron is a secretive unit, with a somewhat   misleading designation, assigned to Eglin Air Force Base, Florida, and which   is associated with United States Department of State Foreign Emergency   Support Team activities.",California,supported,0,Retrieved context directly states that McClellan Air Force Base is in California.,"For the question 'The 337th Flight Test Squadron (337 FLTS) was most recently part of the   46th Test Wing and based at McClellan Air Force Base, a former United States   Air Force base located in the North Highlands area of Sacramento County, in   which US state?', the answer is 'California'.",0.0048805301983532,0.008142651798498,0.9869768180031488,neutral,1
5a8ae49155429951533613a3,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for   Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild   Award for her performance?,"[Context 1]
Title: Cynthia Nixon
Text: She is known for her portrayal of Miranda Hobbes in the HBO series,   ""Sex and the City"" (1998–2004), for which she won the 2004   Primetime Emmy Award for Outstanding Supporting Actress in a Comedy   Series.

[Context 2]
Title: Miranda Hobbes
Text: Nixon received an Emmy Award and a Screen Actors Guild Award for her   performance.

[Context 3]
Title: Cynthia Nixon
Text: She reprised the role in the films ""Sex and the City""   (2008) and ""Sex and the City 2"" (2010).

[Context 4]
Title: Crazy Eyes (character)
Text: She received the Emmy Award for Outstanding Supporting Actress in a   Drama Series as well as the Screen Actors Guild Award for Outstanding   Performance by a Female Actor in a Comedy Series for her season two   performance.

[Context 5]
Title: List of awards and nominations received by Lost
Text: Amongst the wins for the series are a Primetime Emmy Award for   Outstanding Drama Series, a Golden Globe Award for Best Television Series –   Drama, a Screen Actors Guild Award for Outstanding Performance by an Ensemble   in a Drama Series, and a Peabody Award.",Sex and the City,supported,0,"Retrieved context states that Cynthia Nixon portrayed Miranda Hobbes in Sex and the City and won the 2004 Emmy for that role, with the associated performance also receiving a Screen Actors Guild Award.","For the question 'In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for   Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild   Award for her performance?', the answer is 'Sex and the City'.",0.0069574370921373,0.0238458012244713,0.9691967616833912,neutral,1
5ab99943554299131ca42391,"The 1895/96 Football League season was the eighth in Football League   history with Everton, their Goodison Park home, is a football stadium located   in Walton, Liverpool, in which country?","[Context 1]
Title: Goodison Park
Text: Goodison Park is a football stadium located in Walton, Liverpool,   England.

[Context 2]
Title: 1895–96 Everton F.C. season
Text: The 1895/96 Football League season was the eighth in Football League   history with Everton having been an ever present in the top division.

[Context 3]
Title: Goodison Park
Text: The stadium has been home to Premier League club Everton since its   completion in 1892 and is one of the world's oldest purpose-built football   grounds.

[Context 4]
Title: 1895–96 Everton F.C. season
Text: Their Goodison Park home hosted the drawn semi final between   Wednesday and Bolton Wanderers.

[Context 5]
Title: Anfield
Text: It was originally the home of Everton F.C. from 1884 to 1891, before   they moved to Goodison Park after a dispute with the club president.",England,supported,0,"Retrieved context directly states that Goodison Park is located in Walton, Liverpool, England.","For the question 'The 1895/96 Football League season was the eighth in Football League   history with Everton, their Goodison Park home, is a football stadium located   in Walton, Liverpool, in which country?', the answer is 'England'.",0.0022075245568996,0.0010934357723729,0.9966990396707274,neutral,1
5adbe1e755429947ff173853,"The American Pre-Code comedy film featuring an American actress, dancer,   and singer, widely known for performing in films and RKO's musical films, was   released in what year?","[Context 1]
Title: Ginger Rogers
Text: Ginger Rogers (born Virginia Katherine McMath; July 16, 1911 –   April 25, 1995) was an American actress, dancer, and singer, widely known for   performing in films and RKO's musical films, partnered with Fred   Astaire.

[Context 2]
Title: Cracked Nuts
Text: The film was one of RKO's only financial successes of the year.

[Context 3]
Title: Ladies of the Jury
Text: The film was released on February 5, 1932, by RKO Pictures.

[Context 4]
Title: Little Orphan Annie (1932 film)
Text: The film was released on November 4, 1932, by RKO Pictures.

[Context 5]
Title: International House (1933 film)
Text: The film includes some risqué pre-Code humor.",1932,partially_supported,1,"Retrieved context identifies Ginger Rogers and separately gives 1932 release dates for candidate RKO films, but it does not explicitly link the described actress to the target film, so the year is not fully entailed.","For the question 'The American Pre-Code comedy film featuring an American actress, dancer,   and singer, widely known for performing in films and RKO's musical films, was   released in what year?', the answer is '1932'.",0.0010441184464355,0.9733948999200328,0.0255609816335317,entailment,0
