query_id,human_hallucination_label,automatic_hallucination_label,automatic_label_source,final_hallucination_label,review_status,audit_reason,rubric_version,annotator_confidence,source_annotation_file
5a7a06935542990198eaf050,1,1,nli_v2,1,agreement_confirmed,Retrieved dates show Arthur's Magazine is earlier than First for Women.,rubric_v1.0,high,rag_10_hallucination_annotation.csv
5a879ab05542996e4f30887e,0,,nli_v2,0,abstention_confirmed,Model abstained although Delhi is explicitly present in retrieved context.,rubric_v1.0,high,rag_10_hallucination_annotation.csv
5a8d7341554299441c6b9fe5,0,,nli_v2,0,abstention_confirmed,Model abstained although President Richard Nixon is explicitly supported by retrieved context,rubric_v1.0,high,rag_10_hallucination_annotation.csv
5a82171f5542990a1d231f4a,0,,nli_v2,0,abstention_confirmed,Model abstained; retrieved context identifies the wife but does not provide her nationality.,rubric_v1.0,high,rag_10_hallucination_annotation.csv
5a84dd955542997b5ce3ff79,0,0,nli_v2,0,agreement_confirmed,"Generated statement is grounded in the retrieved cadmium chloride context, although it does not answer the question correctly.",rubric_v1.0,medium,rag_10_hallucination_annotation.csv
5a7e36045542991319bc9440,1,1,nli_v2,1,agreement_confirmed,"Stark's two Grand Slam titles are retrieved, but Leconte's title count is missing, so the comparison is not fully supported.",rubric_v1.0,medium,rag_10_hallucination_annotation.csv
5adf44985542993a75d2646d,0,0,nli_v2,0,agreement_confirmed,Retrieved context states Nepita has one species and is found in India and Sri Lanka.,rubric_v1.0,high,rag_10_hallucination_annotation.csv
5a832c3455429954d2e2ec41,0,0,nli_v2,0,agreement_confirmed,Badr Hari is directly identified by the retrieved context.,rubric_v1.0,high,rag_10_hallucination_annotation.csv
5a7d0db955429909bec76924,0,,nli_v2,0,abstention_confirmed,Model abstained and retrieved context does not provide the first-air year 2006.,rubric_v1.0,high,rag_10_hallucination_annotation.csv
5a89372855429951533612e6,0,,nli_v2,0,abstention_confirmed,Model abstained and retrieved context does not provide the circuit length.,rubric_v1.0,high,rag_10_hallucination_annotation.csv
5abd90545542996e802b47d7,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5aba66c855429939ce03dcdb,1,1,nli_v2,1,agreement_confirmed,"Retrieved context lists Maureen Hingert as a star of the film, but identifies Walter Coy as the narrator of Frontier; the generated answer is therefore only partially supported.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5a7722d655429966f1a36c99,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ade025e5542997dc790711e,0,1,nli_v2,0,human_label_confirmed,Retrieved context directly states that Malcolm Smith was named Most Valuable Player of Super Bowl XLVIII.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ab381b155429969a97a816b,0,0,nli_v2,0,agreement_confirmed,Retrieved context states that Zilpo Road is accessed by U.S. Highway 60 and that U.S. Route 60 is known as the Midland Trail.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ae0d91e55429924de1b7198,0,1,nli_v2,0,human_label_confirmed,Retrieved context lists Annette Bening among the stars of The Great Outdoors and states that she received a Hollywood Walk of Fame star in 2006.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
