query_id,question,expected_answer,question_type,difficulty,retrieval_method,alpha,rank,document_id,chunk_id,title,text,bm25_score,dense_score,normalized_bm25,normalized_dense,hybrid_score,is_supporting
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Hybrid,0.5,1,D008,D008_C002,First for Women,The magazine was started in 1989.,12.807902582567303,0.7120329141616821,1.0,0.9722460786962716,0.9861230393481357,False
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Hybrid,0.5,2,D006,D006_C001,Arthur's Magazine,Arthur's Magazine (1844–1846) was an American literary periodical published in Philadelphia in the 19th century.,10.393567550925495,0.7347249388694763,0.8114964557172746,1.0,0.9057482278586373,True
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Hybrid,0.5,3,D008,D008_C001,First for Women,First for Women is a woman's magazine published by Bauer Media Group in the USA.,11.17020317775779,0.6579461097717285,0.8721336772940037,0.9060941626844172,0.8891139199892104,True
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Hybrid,0.5,4,D006,D006_C003,Arthur's Magazine,"In May 1846 it was merged into ""Godey's Lady's Book"".",8.995370423906365,0.6112534403800964,0.7023297035495778,0.8489857870130629,0.7756577452813204,False
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,Hybrid,0.5,5,D008,D008_C004,First for Women,"In 2011 the circulation of the magazine was 1,310,696 copies.",9.489136531559046,0.5552259683609009,0.7408813793192498,0.7804602997861123,0.7606708395526811,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Hybrid,0.5,1,D007,D007_C001,The Oberoi Group,The Oberoi Group is a hotel company with its head office in Delhi.,14.404593013422302,0.7859134674072266,1.0,1.0,1.0,True
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Hybrid,0.5,2,D002,D002_C001,Oberoi family,"The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.",11.643302084581835,0.7692292928695679,0.8083048284482959,0.978714884155097,0.8935098563016964,True
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Hybrid,0.5,3,D001,D001_C004,Ritz-Carlton Jakarta,The complex has two towers that comprises a hotel and the Airlangga Apartment respectively.,9.58698703299132,0.3861263394355774,0.6655507048382483,0.48996485783756527,0.5777577813379068,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Hybrid,0.5,4,D007,D007_C002,The Oberoi Group,"Founded in 1934, the company owns and/or operates 30+ luxury hotels and two river cruise ships in six countries, primarily under its Oberoi Hotels & Resorts and Trident Hotels brands.",4.414963800630849,0.6610299348831177,0.3064969483356423,0.8406777362046588,0.5735873422701505,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,Hybrid,0.5,5,D005,D005_C001,Mohan Singh Oberoi,"Rai Bahadur Mohan Singh Oberoi (15 August 1898 – 3 May 2002) was an Indian hotelier, the founder and chairman of Oberoi Hotels & Resorts, India's second-largest hotel company, with 35 hotels in India, Sri Lanka, Nepal, Egypt, Australia and Hungary.",4.592224969714312,0.6481770277023315,0.3188028266703019,0.8242804240290209,0.5715416253496615,False
