query_id,retrieval_method,top_k,pilot_split,score_max,score_min,score_mean,score_median,score_stddev,score_range,score_coefficient_variation,rank1_rank2_gap,rank1_rankk_decay,score_entropy,normalized_score_entropy,near_top_passage_count,unique_document_count,source_diversity_ratio,duplicate_context_ratio,context_character_count,context_token_count,query_character_count,query_token_count,lexical_overlap,mean_pairwise_context_diversity,bm25_dense_score_correlation,hallucination_label
5a7272eb5542997f827839d7,Hybrid,5,train,0.9024410672292322,0.728655863120919,0.8002462154755492,0.8020938797948258,0.0652440395488568,0.17378520410831322,0.08152995701464866,0.0675044732114749,0.17378520410831322,1.607283158458563,0.9986611760796175,1,4,0.8,0.0,614,107,56,10,0.9,0.8817420646662202,-0.644461464904356,1
5a74248855429929fddd83e5,Hybrid,5,validation,1.0,0.3162319338190085,0.5358123632750285,0.4033386427049912,0.2456474936823567,0.6837680661809915,0.45845805457136807,0.436018156831643,0.6837680661809915,1.5739889664614375,0.9779743314738684,1,4,0.8,0.0,1119,172,140,24,0.8636363636363636,0.9423931096225371,0.7744065270199444,1
5a74bdbf5542996c70cfadc7,Hybrid,5,train,0.9952025103960858,0.8235044426694293,0.899043142683332,0.9187304260369178,0.06268264081453852,0.1716980677266564,0.06972150482951527,0.07452283286970252,0.1716980677266564,1.6074599637561173,0.9987710313876031,1,4,0.8,0.0,647,117,74,12,0.6666666666666666,0.8285046833087835,0.5218948748596067,1
5a760a5f554299109176e629,Hybrid,5,test,0.9926591647307219,0.7246837347706614,0.7976938134641559,0.7551009696089355,0.09931751548265425,0.2679754299600605,0.12450581138563267,0.2121239466699013,0.2679754299600605,1.6040612381685309,0.9966592844470541,1,3,0.6,0.0,687,113,153,28,0.8076923076923077,0.9151948530124898,0.20654420903567225,0
5a76a401554299373536012b,Hybrid,5,test,1.0,0.4803159699231344,0.7046185645242524,0.6591839692094443,0.17804825439529975,0.5196840300768656,0.25268743027728086,0.21189431160463967,0.5196840300768656,1.5928111733061523,0.9896692261319967,1,3,0.6,0.0,672,117,145,26,0.9166666666666666,0.8623222459938807,0.45957465905262873,1
5a7a02235542996c55b2dcd3,Hybrid,5,train,0.9392473504598178,0.382075004199824,0.6392926778829475,0.715240799479588,0.21098191471661068,0.5571723462599938,0.3300239812151279,0.19555672417375491,0.5571723462599938,1.587507607656492,0.9863739355161324,1,4,0.8,0.0,631,106,53,9,0.6666666666666666,0.8911454430871186,0.1203219041638879,0
5a7a06935542990198eaf050,Hybrid,5,validation,0.9861230393481357,0.7606708395526811,0.8634627544059971,0.8891139199892104,0.08457835000704841,0.2254521997954546,0.09795251685781454,0.08037481148949843,0.2254521997954546,1.6058586511534023,0.9977760799263857,1,2,0.4,0.0,339,63,70,12,0.8,0.8340846127768324,0.6624828881664482,1
5a7e36045542991319bc9440,Hybrid,5,train,0.9263993587089572,0.7180130030218652,0.8709061777105639,0.9109281953002517,0.07776004622768132,0.20838635568709196,0.08928636426956661,0.010534128715028901,0.20838635568709196,1.6066299448029224,0.9982553116156366,3,2,0.4,0.0,428,73,80,13,0.7692307692307693,0.9142370532329964,0.37859319898985966,1
5a83168855429966c78a6b2e,Hybrid,5,train,1.0,0.6995969391051113,0.805432981188047,0.8007443572972406,0.10544500176133165,0.30040306089488866,0.1309171640895508,0.1979740291789236,0.30040306089488866,1.6035104140139813,0.9963170381570332,1,4,0.8,0.0,444,80,201,35,0.8620689655172413,0.715898610523798,0.039289790113668455,0
5a832c3455429954d2e2ec41,Hybrid,5,test,1.0,0.35834758683293766,0.5369444193293298,0.44927140091625845,0.23634753518116108,0.6416524131670623,0.4401713225297525,0.5069754353234048,0.6416524131670623,1.5757537028614403,0.9790708238494791,1,4,0.8,0.0,814,140,215,37,0.9666666666666667,0.9054773662447385,0.6546993074593374,0
